Date,Open,High,Low,Close,Adj Close,Volume
2/23/15,36.560001,37,35.73,35.790001,31.962156,42295900
3/2/15,35.639999,36.650002,34.959999,35.529999,31.729961,50144100
3/9/15,35.529999,37.220001,34.779999,36.349998,32.462257,59722900
3/16/15,36.549999,36.970001,35.689999,36.5,32.596218,51212100
3/23/15,36.439999,36.66,35,35.830002,31.997883,43698600
3/30/15,36,36.560001,35.360001,36.060001,32.203289,33459500
4/6/15,35.610001,36.790001,35.43,36.240002,32.364021,39230300
4/13/15,36.240002,37.560001,36.169998,36.75,32.819473,50459900
4/20/15,37.32,37.57,36.630001,37.360001,33.364243,51974200
4/27/15,37.439999,37.700001,36.619999,37.509998,33.498199,42851500
5/4/15,37.580002,37.959999,36.759998,37.889999,33.975101,49690400
5/11/15,37.849998,38.5,37.459999,37.849998,33.93924,43439600
5/18/15,37.889999,38.849998,37.849998,38.169998,34.226173,32437000
5/25/15,38.02,38.779999,37.59,38.200001,34.253071,34262700
6/1/15,38.419998,39.400002,38.16,39.290001,35.230457,40343500
6/8/15,39.639999,40.18,38.790001,39.610001,35.517391,37559100
6/15/15,39.220001,39.959999,38.950001,39.369999,35.302185,35177700
6/22/15,39.860001,40.259998,39.139999,39.5,35.418755,43387600
6/29/15,38.82,39.529999,38.299999,39,34.970413,39272700
7/6/15,38.41,38.919998,37.650002,38.639999,34.647617,43983400
7/13/15,39.080002,40.25,38.950001,40.200001,36.046432,39011400
7/20/15,40.900002,41.040001,39.240002,39.599998,35.508415,55002800
7/27/15,39.259998,39.720001,38.790001,38.84,34.826954,43686600
8/3/15,38.959999,39.349998,38.259998,38.580002,34.726532,34327900
8/10/15,38.799999,39.16,36.57,38.049999,34.249462,42339000
8/17/15,37.73,38.209999,34.16,34.209999,30.793018,66768400
8/24/15,31.620001,34.349998,30.4,34.049999,30.648994,104311600
8/31/15,34.09,34.970001,32.810001,33.189999,29.874893,64579000
9/7/15,33.900002,35.049999,33.470001,33.990002,30.594986,41599800
9/14/15,33.919998,34.900002,32.84,33.029999,29.730871,61627800
9/21/15,33.349998,33.599998,31.379999,32.189999,28.974779,65165400
9/28/15,31.879999,31.92,30.15,31.43,28.290684,80367300
10/5/15,31.74,33.330002,31.709999,32.720001,29.451845,57087800
10/12/15,32.75,34.080002,32.360001,33.950001,30.558987,54580900
10/19/15,31.92,32.990002,31.360001,32.619999,29.361826,118506400
10/26/15,32.630001,33.880001,31.799999,32.970001,29.676867,67881000
11/2/15,33.099998,35.610001,33.02,35.41,32.02219,61950600
11/9/15,35.52,35.740002,33.779999,33.93,30.683779,44949800
11/16/15,33.740002,34.529999,33.220001,33.91,30.665691,50048800
11/23/15,33.919998,34.139999,33.18,33.779999,30.54814,25142100
11/30/15,33.810001,35.580002,33.700001,35.32,31.9408,75233600
12/7/15,35.279999,35.310001,31.93,32.080002,29.01078,59021300
